# prefab<TAB>comma-separated MonoBehaviour classes found anywhere in the prefab (generated from game assets)
AbandonedLogCabin02	Chair,Container,CreatureSpawner,Door,Location,MusicLocation,Piece,RandomSpawn,TerrainModifier,WearNTear,ZNetView
aniattach_forge_hammer	
aoe_nova	Aoe,LightFlicker,ZNetView
arbalest_projectile_blackmetal	Projectile,ZNetView,ZSyncTransform
arbalest_projectile_bloodgold	Projectile,ZNetView,ZSyncTransform
arbalest_projectile_bone	Projectile,ZNetView,ZSyncTransform
arbalest_projectile_carapace	Projectile,ZNetView,ZSyncTransform
arbalest_projectile_charred	Projectile,ZNetView,ZSyncTransform
arbalest_projectile_iron	Projectile,ZNetView,ZSyncTransform
artisan_ext1	AnimationEffect,GuidePoint,Piece,StationExtension,WearNTear,ZNetView
ashland_pot1_green	DropOnDestroyed,HoverText,StaticPhysics,WearNTear,ZNetView
ashland_pot1_red	DropOnDestroyed,HoverText,StaticPhysics,WearNTear,ZNetView
ashland_pot2_green	DropOnDestroyed,HoverText,StaticPhysics,WearNTear,ZNetView
ashland_pot2_red	DropOnDestroyed,HoverText,StaticPhysics,WearNTear,ZNetView
ashland_pot3_green	DropOnDestroyed,HoverText,StaticPhysics,WearNTear,ZNetView
ashland_pot3_red	DropOnDestroyed,HoverText,StaticPhysics,WearNTear,ZNetView
ashwood_arch_big	Piece,WearNTear,ZNetView
ashwood_arch_bottom	Piece,WearNTear,ZNetView
ashwood_arch_top	Piece,WearNTear,ZNetView
ashwood_beam_1m	Piece,WearNTear,ZNetView
ashwood_beam_2m	Piece,WearNTear,ZNetView
ashwood_bed	Bed,EffectArea,GuidePoint,Piece,WearNTear,ZNetView
ashwood_deco_floor	Piece,WearNTear,ZNetView
ashwood_decowall_2x2	Piece,WearNTear,ZNetView
ashwood_decowall_divider	Piece,WearNTear,ZNetView
ashwood_decowall_tree	Piece,WearNTear,ZNetView
ashwood_door	Door,Piece,WearNTear,ZNetView
ashwood_floor_1x1	Piece,WearNTear,ZNetView
ashwood_floor_2x2	Piece,WearNTear,ZNetView
ashwood_halfwall_1x2	Piece,WearNTear,ZNetView
ashwood_pole_1m	Piece,WearNTear,ZNetView
ashwood_pole_2m	Piece,WearNTear,ZNetView
ashwood_quarterwall_1x1	Piece,WearNTear,ZNetView
ashwood_stair	Piece,WearNTear,ZNetView
ashwood_wall_2x2	Piece,WearNTear,ZNetView
ashwood_wall_arch	Piece,WearNTear,ZNetView
ashwood_wall_beam_26	Piece,WearNTear,ZNetView
ashwood_wall_beam_26_alt	Piece,WearNTear,ZNetView
ashwood_wall_beam_45	Piece,WearNTear,ZNetView
ashwood_wall_beam_45_alt	Piece,WearNTear,ZNetView
ashwood_wall_beam_67	Piece,WearNTear,ZNetView
ashwood_wall_cross_26	Piece,WearNTear,ZNetView
ashwood_wall_cross_26_alt	Piece,WearNTear,ZNetView
ashwood_wall_cross_45	Piece,WearNTear,ZNetView
ashwood_wall_cross_45_alt	Piece,WearNTear,ZNetView
ashwood_wall_cross_67	Piece,WearNTear,ZNetView
ashwood_wall_roof_26	Piece,WearNTear,ZNetView
ashwood_wall_roof_26_upsidedown	Piece,WearNTear,ZNetView
ashwood_wall_roof_45	Piece,WearNTear,ZNetView
ashwood_wall_roof_45_upsidedown	Piece,WearNTear,ZNetView
ashwood_wall_roof_67_a	Piece,WearNTear,ZNetView
ashwood_wall_roof_67_upsidedown	Piece,WearNTear,ZNetView
asksvin_carrion	DropOnDestroyed,StaticPhysics,WearNTear,ZNetView
asksvin_carrion2	DropOnDestroyed,StaticPhysics,WearNTear,ZNetView
aspect_Eikthyr_antler	ItemDrop
aspect_Eikthyr_charge	ItemDrop
aspect_Eikthyr_stomp	ItemDrop
aspect_Fader_Bite	ItemDrop
aspect_Fader_Claw_Left	ItemDrop
aspect_Fader_Claw_Right	ItemDrop
aspect_Fader_Fissure	ItemDrop
aspect_Fader_Fissure_AOE	Aoe,CamShaker,LightFlicker,LightLod,TimedDestruction,ZNetView,ZSFX
aspect_Fader_Fissure_Spawn	SpawnAbility
aspect_Fader_Flamebreath	ItemDrop
aspect_Fader_Flamebreath_AOE	Aoe,LightFlicker,LightLod,ZNetView
aspect_Fader_Spin	ItemDrop
aspect_Fader_WallOfFire	ItemDrop
aspect_Fader_WallOfFire_AOE	Aoe,LightFlicker,LightLod,ZNetView
aspect_Fader_WallOfFire_Spawn	SpawnAbility
aspect_GoblinKing_Beam	ItemDrop
aspect_GoblinKing_Nova	ItemDrop
aspect_GoblinKing_Taunt	ItemDrop
aspect_SeekerQueen_Bite	ItemDrop
aspect_SeekerQueen_PierceAOE	ItemDrop
aspect_SeekerQueen_Rush	ItemDrop
aspect_SeekerQueen_Slap	ItemDrop
aspect_SeekerQueen_Spit	ItemDrop
aspect_SeekerQueen_SpitSpawnAbility	SpawnAbility
aspect_SeekerQueen_projectile_spit	ParticleDecal,Projectile,ZNetView,ZSyncTransform
aspect_aoe_explosion	Aoe,ZNetView,ZSyncTransform
aspect_aoe_nova	Aoe,LightFlicker,ZNetView
aspect_bonemass_aoe	Aoe,LightFlicker,ZNetView
aspect_bonemass_attack_aoe	ItemDrop
aspect_bonemass_attack_punch	ItemDrop
aspect_bonemass_attack_throw	ItemDrop
aspect_bonemass_spawn	SpawnAbility
aspect_bonemass_throw_projectile	Projectile,ZNetView,ZSyncTransform
aspect_dragon_bite	ItemDrop
aspect_dragon_claw_left	ItemDrop
aspect_dragon_claw_right	ItemDrop
aspect_dragon_coldbreath	ItemDrop
aspect_dragon_spit_shotgun	ItemDrop
aspect_dragon_taunt	ItemDrop
aspect_gd_king_rootspawn	ItemDrop
aspect_gd_king_scream	ItemDrop
aspect_gd_king_shoot	ItemDrop
aspect_gd_king_stomp	ItemDrop
aspect_gdking_root_projectile	Projectile,RandomMovement,ZNetView,ZSyncTransform
aspect_projectile_beam	Projectile,ZNetView,ZSyncTransform
aspect_spawn_roots	SpawnAbility
babyseeker_attack	ItemDrop
bar_ancientmetal_stack	Piece,WearNTear,ZNetView
bar_blackmetal_stack	Piece,WearNTear,ZNetView
bar_bronze_stack	Piece,WearNTear,ZNetView
bar_copper_stack	Piece,WearNTear,ZNetView
bar_flametal_stack	Piece,WearNTear,ZNetView
bar_gold_stack	Piece,WearNTear,ZNetView
bar_iron_stack	Piece,WearNTear,ZNetView
bar_silver_stack	Piece,WearNTear,ZNetView
bar_tin_stack	Piece,WearNTear,ZNetView
barrell	Destructible,DropOnDestroyed,Floating,ZNetView,ZSyncTransform
barrell_static	
bat_melee	ItemDrop,ZNetView,ZSyncTransform
bed	Bed,EffectArea,GuidePoint,Piece,WearNTear,ZNetView
bee_aoe	Aoe,ZNetView,ZSFX
beech_log	Floating,HoverText,ImpactEffect,LodFadeInOut,TreeLog,ZNetView,ZSyncTransform
beech_log_half	Floating,HoverText,ImpactEffect,LodFadeInOut,TreeLog,ZNetView,ZSyncTransform
bilebomb_explosion	Aoe,ZNetView
bilebomb_projectile	Projectile,ZNetView,ZSyncTransform
bjorn_bite	ItemDrop,ZNetView,ZSyncTransform
bjorn_claws	ItemDrop,ZNetView,ZSyncTransform
bjorn_slam	ItemDrop
bjorn_swipe_combo	ItemDrop,ZNetView,ZSyncTransform
bjorn_swipe_l	ItemDrop,ZNetView,ZSyncTransform
bjorn_swipe_r	ItemDrop,ZNetView,ZSyncTransform
blackforge	CircleProjector,CraftingStation,EffectArea,LightFlicker,LightLod,Piece,SmokeSpawner,WearNTear,ZNetView
blackforge_ext1	Piece,StationExtension,WearNTear,ZNetView
blackforge_ext2_vise	Piece,StationExtension,WearNTear,ZNetView
blackforge_ext3_metalcutter	Piece,StationExtension,WearNTear,ZNetView
blackforge_ext4_gemcutter	Piece,StationExtension,WearNTear,ZNetView
blackforge_ext5_apron	Piece,StationExtension,WearNTear,ZNetView
blackmarble_1x1	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_2x1x1	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_2x2_enforced	Piece,WearNTear,ZNetView
blackmarble_2x2x1	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_2x2x2	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_altar_crystal	Destructible,LightFlicker,LightLod,ZNetView
blackmarble_altar_crystal_broken	Destructible,DropOnDestroyed,LightFlicker,ZNetView
blackmarble_arch	Piece,WearNTear,ZNetView
blackmarble_base_1	Piece,WearNTear,ZNetView
blackmarble_base_2	Piece,WearNTear,ZNetView
blackmarble_basecorner	Piece,WearNTear,ZNetView
blackmarble_column_1	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_column_2	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_column_3	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_creep_4x1x1	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_creep_4x2x1	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_creep_slope_inverted_1x1x2	Piece,WearNTear,ZNetView
blackmarble_creep_slope_inverted_2x2x1	Piece,WearNTear,ZNetView
blackmarble_creep_stair	Piece,WearNTear,ZNetView
blackmarble_floor	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_floor_large	Piece,WearNTear,ZNetView
blackmarble_floor_triangle	Piece,WearNTear,ZNetView
blackmarble_head01	Piece,WearNTear,ZNetView
blackmarble_head02	Piece,WearNTear,ZNetView
blackmarble_head_big01	Piece,WearNTear,ZNetView
blackmarble_head_big02	Piece,WearNTear,ZNetView
blackmarble_out_1	Piece,WearNTear,ZNetView
blackmarble_out_2	Piece,WearNTear,ZNetView
blackmarble_outcorner	Piece,WearNTear,ZNetView
blackmarble_pile	Piece,WearNTear,ZNetView
blackmarble_post01	Destructible,DropOnDestroyed,StaticPhysics,ZNetView
blackmarble_slope_1x2	Piece,WearNTear,ZNetView
blackmarble_slope_inverted_1x2	Piece,WearNTear,ZNetView
blackmarble_stair	Piece,WearNTear,ZNetView
blackmarble_stair_corner	Piece,WearNTear,ZNetView
blackmarble_stair_corner_left	Piece,WearNTear,ZNetView
blackmarble_tile_floor_1x1	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_tile_floor_2x2	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_tile_wall_1x1	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_tile_wall_2x2	Piece,RandomPieceRotation,WearNTear,ZNetView
blackmarble_tile_wall_2x4	Piece,WearNTear,ZNetView
blackmarble_tip	Piece,WearNTear,ZNetView
blackwood_stack	Piece,WearNTear,ZNetView
blastfurnace	AnimationEffect,EffectArea,LightFlicker,LightLod,Piece,Smelter,SmokeSpawner,Switch,TimedDestruction,WearNTear,ZNetView,ZSFX
blobLava_attack_aoe	ItemDrop
blob_aoe	Aoe,ZNetView
blob_attack_aoe	ItemDrop
blob_frost_attack_aoe	ItemDrop
blobelite_attack_aoe	ItemDrop
blobmork_attack_aoe	ItemDrop
blobtar_attack	ItemDrop
blobtar_projectile_tarball	Projectile,ZNetView,ZSyncTransform
boar_base_attack	ItemDrop
boar_ragdoll	Ragdoll,ZNetView
bogwitch_barrel	
bomb_lastboss_ice_explosion	Aoe,ZNetView
bombdynamite_explosion	Aoe,ZNetView
bombdynamite_projectile	Projectile,TimedDestruction,ZNetView,ZSFX,ZSyncTransform
bone_stack	Piece,WearNTear,ZNetView
bonemass_aoe	Aoe,LightFlicker,ZNetView
bonemass_attack_aoe	ItemDrop
bonemass_attack_punch	ItemDrop
bonemass_attack_spawn	ItemDrop
bonemass_attack_throw	ItemDrop
bonemass_spawn	SpawnAbility
bonemass_throw_projectile	Projectile,ZNetView,ZSyncTransform
bonfire	Aoe,CinderSpawner,EffectArea,Fireplace,GlobalWind,LightFlicker,LightLod,Piece,SmokeSpawner,WearNTear,ZNetView,ZSFX
bow_projectile	Projectile,ZNetView,ZSyncTransform
bow_projectile_bloodgold	Projectile,ZNetView,ZSyncTransform
bow_projectile_bronze	Projectile,ZNetView,ZSyncTransform
bow_projectile_carapace	Projectile,ZNetView,ZSyncTransform
bow_projectile_charred	Projectile,ZNetView,ZSyncTransform
bow_projectile_fire	CinderSpawner,LightFlicker,Projectile,ZNetView,ZSyncTransform
bow_projectile_flint	Projectile,ZNetView,ZSyncTransform
bow_projectile_frost	LightFlicker,Projectile,ZNetView,ZSyncTransform
bow_projectile_iron	Projectile,ZNetView,ZSyncTransform
bow_projectile_needle	Projectile,ZNetView,ZSyncTransform
bow_projectile_obsidian	Projectile,ZNetView,ZSyncTransform
bow_projectile_poison	LightFlicker,Projectile,ZNetView,ZSyncTransform
bow_projectile_silver	Projectile,ZNetView,ZSyncTransform
bronzespear_projectile	Projectile,ZNetView,ZSyncTransform
bucket	Destructible,ZNetView,ZSyncTransform
burn	Piece,TerrainOp
cauldron_ext1_spice	Piece,StationExtension,WearNTear,ZNetView
cauldron_ext3_butchertable	Piece,StationExtension,WearNTear,ZNetView
cauldron_ext4_pots	Piece,StationExtension,WearNTear,ZNetView
cauldron_ext5_mortarandpestle	Piece,StationExtension,WearNTear,ZNetView
cauldron_ext6_rollingpins	Piece,StationExtension,WearNTear,ZNetView
cauldron_ext7_smoker	GlobalWind,Piece,StationExtension,WearNTear,ZNetView
cave_divider	LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection
cave_divider02	LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection
cave_dome_bottom_endcap	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_dome_bottom_lake	Aoe,CinderSpawner,CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,Fireplace,Fish,GlobalWind,ItemDrop,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,Piece,RandomSpawn,RandomSpeak,Room,RoomConnection,RuneStone,SmokeSpawner,StaticPhysics,TimedDestruction,WaterVolume,WearNTear,ZNetView,ZSFX,ZSyncTransform
cave_dome_middle	CreatureSpawner,LightLod,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,RuneStone,StaticPhysics,ZNetView
cave_dome_roof	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_dome_roof_from_deeproom_corner1	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_dome_roof_from_deeproom_corner2	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_dome_roof_from_deeproom_corner3	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_dome_roof_from_deeproom_corner4	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_corridor01	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_corridor03	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_corridor05	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_corridor06	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_corridor07	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_corridor08	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_corridor09	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_crossroads01	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_crossroads01_hole	Container,CreatureSpawner,Destructible,DropOnDestroyed,Fish,GlobalWind,ItemDrop,LightLod,MaterialVariationWorld,Pickable,Piece,RandomSpawn,RandomSpeak,Room,RoomConnection,WearNTear,ZNetView,ZSyncTransform
cave_new_crossroads01_hole_ice	Container,CreatureSpawner,Destructible,DropOnDestroyed,Fish,GlobalWind,ItemDrop,LightLod,MaterialVariationWorld,Pickable,Piece,RandomSpawn,RandomSpeak,Room,RoomConnection,WearNTear,ZNetView,ZSyncTransform
cave_new_crossroads01_hole_long	CreatureSpawner,Destructible,DropOnDestroyed,Fish,GlobalWind,ItemDrop,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,RandomSpeak,Room,RoomConnection,Vegvisir,ZNetView,ZSyncTransform
cave_new_crossroads01_hole_shrine	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,Fish,GlobalWind,ItemDrop,LightFlicker,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,RandomSpeak,Room,RoomConnection,TimedDestruction,ZNetView,ZSFX,ZSyncTransform
cave_new_crossroads01_hole_to_deeproom	CreatureSpawner,Destructible,DropOnDestroyed,Fish,GlobalWind,ItemDrop,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,RandomSpeak,Room,RoomConnection,Vegvisir,ZNetView,ZSyncTransform
cave_new_crossroads01_ice	Destructible,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_crossroads02	Destructible,DropOnDestroyed,GlobalWind,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_crossroads03	Container,CreatureSpawner,Destructible,GlobalWind,LightLod,MaterialVariationWorld,Piece,RandomSpawn,Room,RoomConnection,WearNTear,ZNetView
cave_new_deeproom_bottom	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_deeproom_bottom_ice	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_deeproom_bottom_lake	CreatureSpawner,Destructible,DropOnDestroyed,Fish,HoverText,ItemDrop,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,RandomSpeak,Room,RoomConnection,WaterVolume,ZNetView,ZSyncTransform
cave_new_deeproom_bottom_shrine	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,HoverText,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,MusicVolume,RandomSpawn,Room,RoomConnection,TimedDestruction,ZNetView,ZSFX
cave_new_deeproom_endcap	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_deeproom_middle	CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_deeproom_roof	CreatureSpawner,Destructible,GlobalWind,HoverText,LightLod,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_deeproom_top	CreatureSpawner,Destructible,DropOnDestroyed,GlobalWind,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_endcap02	CreatureSpawner,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_endcap02_crystal	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,WaterVolume,ZNetView
cave_new_endcap_moderstone	CreatureSpawner,Destructible,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,Vegvisir,ZNetView
cave_new_endcap_painting01	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_endcap_painting02	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_endcap_painting03	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_endcap_painting04	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_entrance02	Destructible,DropOnDestroyed,GlobalWind,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_icecorridor01	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_icecorridor02	Container,CreatureSpawner,Destructible,GlobalWind,LightLod,MaterialVariationWorld,Piece,RandomSpawn,Room,RoomConnection,WearNTear,ZNetView
cave_new_icecorridor03	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_icecorridor04	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_icecorridor05	Container,CreatureSpawner,Destructible,DropOnDestroyed,GlobalWind,LightLod,MaterialVariationWorld,Pickable,Piece,RandomSpawn,Room,RoomConnection,WearNTear,ZNetView
cave_new_icecorridor06	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_icecorridor07	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_iceendcap02	CreatureSpawner,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_iceendcap02_crystal	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_iceendcap_moderstone	CreatureSpawner,Destructible,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,Vegvisir,ZNetView
cave_new_iceendcap_painting01	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_iceendcap_painting02	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_iceendcap_painting03	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_iceendcap_painting04	CreatureSpawner,Destructible,HoverText,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_slope_endcap01	Destructible,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_sloperoom01	CreatureSpawner,Destructible,DropOnDestroyed,GlobalWind,HoverText,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_sloperoom02	CreatureSpawner,Destructible,DropOnDestroyed,GlobalWind,HoverText,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_sloperoom03	CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_sloperoom04	CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_sloperoom05	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_new_sloperoom_w_hole	CreatureSpawner,Destructible,DropOnDestroyed,Fish,GlobalWind,ItemDrop,LightLod,MaterialVariationWorld,Pickable,RandomSpawn,RandomSpeak,Room,RoomConnection,WaterVolume,ZNetView,ZSyncTransform
cave_shrine_corridor01	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,TimedDestruction,ZNetView,ZSFX
cave_shrine_corridor02	CreatureSpawner,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_shrine_corridor03	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,PickableItem,RandomSpawn,Room,RoomConnection,TimedDestruction,ZNetView,ZSFX
cave_shrine_corridor04	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,TimedDestruction,ZNetView,ZSFX
cave_shrine_corridor05	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,PickableItem,RandomSpawn,Room,RoomConnection,ZNetView
cave_shrine_corridor06	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,TimedDestruction,ZNetView,ZSFX
cave_shrine_corridor07	CreatureSpawner,Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,PickableItem,RandomSpawn,Room,RoomConnection,ZNetView
cave_shrine_endcap	CreatureSpawner,Destructible,EffectArea,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,PickableItem,RandomSpawn,Room,RoomConnection,TimedDestruction,WearNTear,ZNetView,ZSFX
cave_shrine_endcap01	CreatureSpawner,DropOnDestroyed,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,WearNTear,ZNetView
cave_shrine_endcap02	CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,ZNetView
cave_shrine_endcap03	CreatureSpawner,Destructible,DropOnDestroyed,HoverText,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,ZNetView
cave_shrine_endcap04	CreatureSpawner,DropOnDestroyed,MaterialVariationWorld,Pickable,RandomSpawn,Room,RoomConnection,WearNTear,ZNetView
cave_shrine_endcap05	Container,CreatureSpawner,Destructible,EffectArea,LightFlicker,LightLod,MaterialVariationWorld,Piece,RandomSpawn,Room,RoomConnection,TimedDestruction,WearNTear,ZNetView,ZSFX
cave_shrine_endcap_noshrine	Destructible,EffectArea,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,PickableItem,RandomSpawn,Room,RoomConnection,TimedDestruction,WearNTear,ZNetView,ZSFX
cave_shrine_endcap_noshrine02	Container,Destructible,EffectArea,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,Piece,RandomSpawn,Room,RoomConnection,TimedDestruction,WearNTear,ZNetView,ZSFX
cave_shrine_hole01	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,Fish,GlobalWind,ItemDrop,LightFlicker,LightLod,LodFadeInOut,MaterialVariationWorld,Pickable,RandomSpawn,RandomSpeak,Room,RoomConnection,TimedDestruction,ZNetView,ZSFX,ZSyncTransform
cave_shrine_lootencap01	Destructible,DropOnDestroyed,LightLod,MaterialVariationWorld,PickableItem,RandomSpawn,Room,RoomConnection,ZNetView
cave_shrine_lootencap02	Aoe,Destructible,DropOnDestroyed,EffectArea,LightFlicker,LightLod,MaterialVariationWorld,RandomSpawn,Room,RoomConnection,TimedDestruction,ZNetView,ZSFX
